chunk_id,doc_id,은행명,상품종류,상품이름,조항,조항이름,text,context
3,61,국민은행,대출,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,2,주택 추가 구입 금지의무,"채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역 투기과열지구 조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외","국민은행 대출 고액신용대출의사후용도관리강화관련추가약정용 추가약정서 2 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역 투기과열지구 조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
4,61,국민은행,대출,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,제2조,,를 위반한 경우에는 은행여신거래기본약관(가계용),국민은행 대출 고액신용대출의사후용도관리강화관련추가약정용 추가약정서 제2조 를 위반한 경우에는 은행여신거래기본약관(가계용)
5,61,국민은행,대출,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,제7조,,"제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다.","국민은행 대출 고액신용대출의사후용도관리강화관련추가약정용 추가약정서 제7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
1,62,국민은행,대출,공유형모기지대출 추가약정서,전문,전문,"은행은 채무자 및 담보제공자에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래 기본약관 및이 약정서의 1부를 교부하여야 합니다. 주식회사 국민은행 (주택도시기금 업무수탁은행) 앞 20 년월일채무자 (인) 주소 담보제공자 (인) 주소 본인은 국토교통부 기금운용계획에 따라 주택도시기금으로 지원되는 수익공유형 및 손익공유형 모기지 대출 중 모기지 대출을 받기 위하여 국민은행과 체결한 년월 일자 대출거래약정서(주택도시기금대출:가계용) 및 은행여신거래기본약관(가계용)에 추가하여 다음 각 사항을 약정하기로 합니다. 용어의 정의","국민은행 대출 공유형모기지대출 추가약정서 전문 전문 은행은 채무자 및 담보제공자에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래 기본약관 및이 약정서의 1부를 교부하여야 합니다. 주식회사 국민은행 (주택도시기금 업무수탁은행) 앞 20 년월일채무자 (인) 주소 담보제공자 (인) 주소 본인은 국토교통부 기금운용계획에 따라 주택도시기금으로 지원되는 수익공유형 및 손익공유형 모기지 대출 중 모기지 대출을 받기 위하여 국민은행과 체결한 년월 일자 대출거래약정서(주택도시기금대출:가계용) 및 은행여신거래기본약관(가계용)에 추가하여 다음 각 사항을 약정하기로 합니다. 용어의 정의"
2,62,국민은행,대출,공유형모기지대출 추가약정서,제7조,,"에 따라 처분손익을 산정하고, 주택매각가격을 감정평가기관의 시세감정가격 보다 5%(3 억원 이하 주택의 경우) 또는 15 백만원(3 억원 초과 주택의 경우) 이상 적게 신고할 경우에는","국민은행 대출 공유형모기지대출 추가약정서 제7조 에 따라 처분손익을 산정하고, 주택매각가격을 감정평가기관의 시세감정가격 보다 5%(3 억원 이하 주택의 경우) 또는 15 백만원(3 억원 초과 주택의 경우) 이상 적게 신고할 경우에는"
3,62,국민은행,대출,공유형모기지대출 추가약정서,제8조,,"에 따라 처분손익을 산정합니다. ④ 평가손익이란 주택을 매각하지 않고(상속 및 증여를 포함), 만기 또는 조기에 대출금을 전액 상환하는 경우 주택의 시세감정가격에서 매입가격을 차감한 금액을 말합니다. ⑤ 재개발 재건축 등의 사유로 해당 주택이 멸실되는 경우와 리모델링으로 인해 중도상환하는 경우에는「도시 및 주거환경정비법」","국민은행 대출 공유형모기지대출 추가약정서 제8조 에 따라 처분손익을 산정합니다. ④ 평가손익이란 주택을 매각하지 않고(상속 및 증여를 포함), 만기 또는 조기에 대출금을 전액 상환하는 경우 주택의 시세감정가격에서 매입가격을 차감한 금액을 말합니다. ⑤ 재개발 재건축 등의 사유로 해당 주택이 멸실되는 경우와 리모델링으로 인해 중도상환하는 경우에는「도시 및 주거환경정비법」"
4,62,국민은행,대출,공유형모기지대출 추가약정서,제48조,,"제⑤항 제 1 호에 의한 ""종전 토지 및 건축물의 가격""에서 매입가격을 차감한 금액을 평가손익으로 합니다. ⑥ 법적절차에 의한 경우에는 낙찰가격에서 매입가격을 차감한 금액을 처분손익으로 합니다. ⑦ 처분손익(평가손익)은 소유권 이전과 관련된 제반 비용, 주택 수리비용 등은 감안하지 않기로 합니다. ⑧ 처분손익은 주택매각에 따른 대출금 상환시(대출개시 3 년 초과) 양도소득세를 반영하지 아니하고 정산하며, 향후 양도소득세 납부내역을 제출하는 경우 양도소득세를 반영한 세후 이익을 기준으로 재정산하여 환출하기로 합니다. (다주택으로 인하여 양도소득세가 발생된 경우 제외) 112654 (2022.06.15) 수익공유형 모기지대출","국민은행 대출 공유형모기지대출 추가약정서 제48조 제⑤항 제 1 호에 의한 ""종전 토지 및 건축물의 가격""에서 매입가격을 차감한 금액을 평가손익으로 합니다. ⑥ 법적절차에 의한 경우에는 낙찰가격에서 매입가격을 차감한 금액을 처분손익으로 합니다. ⑦ 처분손익(평가손익)은 소유권 이전과 관련된 제반 비용, 주택 수리비용 등은 감안하지 않기로 합니다. ⑧ 처분손익은 주택매각에 따른 대출금 상환시(대출개시 3 년 초과) 양도소득세를 반영하지 아니하고 정산하며, 향후 양도소득세 납부내역을 제출하는 경우 양도소득세를 반영한 세후 이익을 기준으로 재정산하여 환출하기로 합니다. (다주택으로 인하여 양도소득세가 발생된 경우 제외) 112654 (2022.06.15) 수익공유형 모기지대출"
5,62,국민은행,대출,공유형모기지대출 추가약정서,2,처분손익 또는 평가손익의 정산,"① 채무자가 주택을 매각, 대출만기 또는 중도상환하는 경우에는 약정에 의한 처분손익(평가손익)을 대출금 상환시에 대출금원리금에 추가하여 국민은행(주택도시기금 업무수탁은행)에 지급하기로 합니다. 단, 손실이 발생한 경우에는 제외합니다. ② 상기 제①항에 따라 처분손익(평가손익)을 정산하는 경우에는 대출금 상환시 또는 대출만기시 대출 기간 중 원금 기준 평균잔액을 계산하고, 매입가격 대비 대출기간 중 원금기준 평균잔액 비율을 계산하여 처분손익(평가손익)에그 해당 비율만큼을 지급하기로 합니다. 다만, 3년 이내에 일부를 중도상환하는 경우에는 대출 실행금액에서 해당 중도상환금을 차감하여 평균잔액을 계산합니다. 처분손익(평가손익)의 정산은 대출기간 중 원금기준 평균잔액에 연 3.5% 수익률을 적용한 금액을 최대한도로 합니다. ③ 대출개시일로 부터 3 년 이내 상환하는 경우에는 정산하지 않습니다.","국민은행 대출 공유형모기지대출 추가약정서 2 처분손익 또는 평가손익의 정산 ① 채무자가 주택을 매각, 대출만기 또는 중도상환하는 경우에는 약정에 의한 처분손익(평가손익)을 대출금 상환시에 대출금원리금에 추가하여 국민은행(주택도시기금 업무수탁은행)에 지급하기로 합니다. 단, 손실이 발생한 경우에는 제외합니다. ② 상기 제①항에 따라 처분손익(평가손익)을 정산하는 경우에는 대출금 상환시 또는 대출만기시 대출 기간 중 원금 기준 평균잔액을 계산하고, 매입가격 대비 대출기간 중 원금기준 평균잔액 비율을 계산하여 처분손익(평가손익)에그 해당 비율만큼을 지급하기로 합니다. 다만, 3년 이내에 일부를 중도상환하는 경우에는 대출 실행금액에서 해당 중도상환금을 차감하여 평균잔액을 계산합니다. 처분손익(평가손익)의 정산은 대출기간 중 원금기준 평균잔액에 연 3.5% 수익률을 적용한 금액을 최대한도로 합니다. ③ 대출개시일로 부터 3 년 이내 상환하는 경우에는 정산하지 않습니다."
6,62,국민은행,대출,공유형모기지대출 추가약정서,제2조,,에 추가하여 조기상환수수료를 지급하기로 합니다. - 3년 이내 조기상환시 연 ( )% - 조기상환수수료 대출금액 조기상환수수료율 경과기간(대출취급일 상환일전일) / 365 (윤년366) ② 3 년 경과 후 상환하는 경우 조기상환수수료는 없습니다. 손익공유형 모기지대출,국민은행 대출 공유형모기지대출 추가약정서 제2조 에 추가하여 조기상환수수료를 지급하기로 합니다. - 3년 이내 조기상환시 연 ( )% - 조기상환수수료 대출금액 조기상환수수료율 경과기간(대출취급일 상환일전일) / 365 (윤년366) ② 3 년 경과 후 상환하는 경우 조기상환수수료는 없습니다. 손익공유형 모기지대출
7,62,국민은행,대출,공유형모기지대출 추가약정서,4,처분손익 또는 평가손익의 정산,"① 채무자가 주택을 매각, 대출만기 또는 중도상환하는 경우에는 약정에 의한 처분손익(평가손익)을 대출금 상환시에 국민은행(주택도시기금 업무수탁은행)과 정산하기로 합니다. 정산은 대출비율 (대출금액 / 주택매입가격)을 기준으로 하며, 처분손익의 대출비율 상당액은 국민은행(주택 도시기금 업무수탁은행)에 귀속됩니다. ② 상기 ①항에 따라 처분이익이 발생할 경우에는 대출금 상환시에 대출 원리금에 추가하여 고객이 지급하며, 처분손실이 발생할 경우에는 대출금 상환시에 원리금 납부금액에서 공제하고 정산합니다. ③ 대출개시일로 부터 3 년 이내 상환하는 경우에는 정산하지 않습니다.","국민은행 대출 공유형모기지대출 추가약정서 4 처분손익 또는 평가손익의 정산 ① 채무자가 주택을 매각, 대출만기 또는 중도상환하는 경우에는 약정에 의한 처분손익(평가손익)을 대출금 상환시에 국민은행(주택도시기금 업무수탁은행)과 정산하기로 합니다. 정산은 대출비율 (대출금액 / 주택매입가격)을 기준으로 하며, 처분손익의 대출비율 상당액은 국민은행(주택 도시기금 업무수탁은행)에 귀속됩니다. ② 상기 ①항에 따라 처분이익이 발생할 경우에는 대출금 상환시에 대출 원리금에 추가하여 고객이 지급하며, 처분손실이 발생할 경우에는 대출금 상환시에 원리금 납부금액에서 공제하고 정산합니다. ③ 대출개시일로 부터 3 년 이내 상환하는 경우에는 정산하지 않습니다."
