chunk_id,doc_id,문서명,은행명,상품종류,상품이름,조항,조항이름,조항내용
2533,DOC_00071,내맘대로 통장자동대출 약정한도 증 감액용 추가약정서,국민은행,대출,에이스ACE전문직무보증대출,제 2조,한도감액에 관한 사항,"은행명: 국민은행 상품종류: 대출 상품이름: 에이스ACE전문직무보증대출 조항: 제 2조 조항이름: 한도감액에 관한 사항 은행명: KBbank 상품종류: 대출 상품이름: 에이스ACE전문직무보증대출 조항: 제 2조 조항이름: 한도감액에 관한 사항 ① 한도약정일로부터 3개월 이후 매월 금리재산정일 기준 직전 1개월간 한도소진율이 50% 미만인 경우에는 매월 당초 한도 약정 금액의 10%씩 십만원 단위(십만원 미만은 절사)로 최대 50%까지 자동감액 합니다. 다만, 다음 각 1에 해당하는 경우에는 자동 감액이 적용되지 않습니다. 1. 금리재산정일 현재 한도약정금액이 당초 한도약정금액 대비 50% 이하인 경우 2. 금리재산정일 직전 월 평균 한도소진율이 50% 미만이나, 금리재산정일 현재 약정한도의 70% 이상 대출을 사용 중인 경우 ② 채무자는 영업점 또는 비대면 채널(인터넷, 모바일 뱅킹)을 이용하여 자동감액과 별도로 자유롭게 약정한도(십만원 단위)를 감액 할 수 있습니다."
2534,DOC_00071,내맘대로 통장자동대출 약정한도 증 감액용 추가약정서,국민은행,대출,에이스ACE전문직무보증대출,제 3조,한도증액에 관한 사항,"은행명: 국민은행 상품종류: 대출 상품이름: 에이스ACE전문직무보증대출 조항: 제 3조 조항이름: 한도증액에 관한 사항 은행명: KBbank 상품종류: 대출 상품이름: 에이스ACE전문직무보증대출 조항: 제 3조 조항이름: 한도증액에 관한 사항 ① 채무자는 당초 한도 약정금액 범위 내에서 영업점 또는 비대면 채널(인터넷, 모바일 뱅킹)을 이용하여 약정한도를 증액할 수 있습니다. 다만, 아래의 각 1에 해당하는 경우에는 약정한도 증액이 제한됩니다. 1. 당행 여신이 연체 중인 경우 (KB카드, 보증채무, 외환 포함) 2. 법원으로부터 파산면책 또는 개인회생절차의 변제계획인가 결정을 받은 경우 및 개인 신용회복제도 신청자 또는 확정자인 경우 3. 당행에 상각(매각) 채권 또는 채무감면 사실이 있는 경우(KB카드 포함) 4. 신용정보집중기관 또는 신용정보회사에 연체정보가 등록된 경우 ② 신용대출 상품별 한도증액 가능금액 산출기준은 다음과 같으며 한도감액 이후 한도증액 신청시점에 당행 및 다른 금융기관의 신용 대출이 증가한 경우에는 한도증액이 제한될 수 있습니다. 주 1. 한도약정금액은 일중(00:00 24:00) 최저 약정금액으로 하고, 매일의 한도소진율은 100%를 초과할 수 없음. 2. 무궁화신용대출, 선생님든든신용대출, 군인든든신용대출, 닥터론, 로이어론, 에이스전문직무보증대출, STAR CLUB신용대출, 내맘대로마이너스통장 등 3. 직장인든든신용대출, 급여이체신용대출, 가맹점대표신용대출, 사업자가계행복대출, 4대연금신용대출, 평생파트너신용대출, 금융전문인우대대출, WISE직장인대출, 스마트직장인대출, 리더스 신용대출, 국민행복신용대출, 신용테크론 등"
2535,DOC_00071,내맘대로 통장자동대출 약정한도 증 감액용 추가약정서,국민은행,대출,에이스ACE전문직무보증대출,제 4조,기한연장에 관한 사항,"은행명: 국민은행 상품종류: 대출 상품이름: 에이스ACE전문직무보증대출 조항: 제 4조 조항이름: 기한연장에 관한 사항 은행명: KBbank 상품종류: 대출 상품이름: 에이스ACE전문직무보증대출 조항: 제 4조 조항이름: 기한연장에 관한 사항 ① 기한연장의 경우, 기한연장 신청시점의 약정한도로 기한연장 하기로 합니다. 증액요청시 제3조와 같이 약정한도를 증액 할 수 있고, 이때 증액은 당초 한도약정금액(단, 한도약정 기한연장 신용평가 결과에 따라 약정한도감액(대출금 상환금액)이 발생하는 경우에는 한도감액 후 약정금액)까지 가능합니다. ② 1항에도 불구하고, 신용평가 결과에 따라 약정한도 감액대상에 해당하는 경우에는 당초 대출약정금액을 기준으로 감액하기로 합니다"
2536,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KT관련재직직원에대한대출,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2537,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KT관련재직직원에대한대출,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2538,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KT관련재직직원에대한대출,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2539,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KT관련재직직원에대한대출,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KT관련재직직원에대한대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2540,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBSTARCLUB신용대출,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2541,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBSTARCLUB신용대출,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2542,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBSTARCLUB신용대출,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2543,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBSTARCLUB신용대출,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KBSTARCLUB신용대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2544,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBi-star직장인신용대출본부승인대출,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2545,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBi-star직장인신용대출본부승인대출,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2546,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBi-star직장인신용대출본부승인대출,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2547,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KBi-star직장인신용대출본부승인대출,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KBi-star직장인신용대출본부승인대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2548,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB처음EASY신용대출,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2549,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB처음EASY신용대출,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2550,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB처음EASY신용대출,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2551,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB처음EASY신용대출,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KB처음EASY신용대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2552,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규Ⅱ,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2553,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규Ⅱ,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2554,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규Ⅱ,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2555,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규Ⅱ,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규Ⅱ 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2556,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2557,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2558,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2559,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출신규,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출신규 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2560,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출갈아타기,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2561,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출갈아타기,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2562,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출갈아타기,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2563,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB스타신용대출갈아타기,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KB스타신용대출갈아타기 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2564,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB사업자든든신용대출,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2565,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB사업자든든신용대출,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
2566,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB사업자든든신용대출,제 2조,주택 추가 구입 금지의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 은행명: KBbank 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 제 2조 조항이름: 주택 추가 구입 금지의무 채무자는 본 대출 실행일부터 1년 또는 대출 전액 상환 시기 중 빠른 일자까지 투기지역투기과열지구조정대상지역 내 주택(분양권 및 조합원 입주권 등 포함)을 구입주)하지 않기로 합니다. 주) 매매, 증여, 신축 등에 따른 소유권 취득. 다만 상속에 의한 취득은 제외"
2567,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB사업자든든신용대출,제 3조,기한전의 채무변제의무,"은행명: 국민은행 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 은행명: KBbank 상품종류: 대출 상품이름: KB사업자든든신용대출 조항: 제 3조 조항이름: 기한전의 채무변제의무 제2조를 위반한 경우에는 은행여신거래기본약관(가계용) 제 7조 제 4항 제 2호에 의하여 본 대출의 기한의 이익은 상실하게 되고, 그에 따라 본 대출을 변제할 의무를 집니다."
2568,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB사립학교교직원우대대출,전문,전문,은행명: 국민은행 상품종류: 대출 상품이름: KB사립학교교직원우대대출 조항: 전문 조항이름: 전문 은행명: KBbank 상품종류: 대출 상품이름: KB사립학교교직원우대대출 조항: 전문 조항이름: 전문 동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 추가 약정서 (고액 신용대출의 사후 용도관리 강화 관련 추가약정용) 주식회사 국민은행 앞 20 년 월 일 채 무 자 : (인) 주 소 : 채무자는 주식회사 국민은행(이하 은행이라 합니다.)과 약정한 20 년 월 일자 대출거래약정서(가계용)에 추가하여 다음과 같이 약정합니다.
2569,DOC_00072,고액신용대출의사후용도관리강화관련추가약정용 추가약정서,국민은행,대출,KB사립학교교직원우대대출,제 1조,목적,"은행명: 국민은행 상품종류: 대출 상품이름: KB사립학교교직원우대대출 조항: 제 1조 조항이름: 목적 은행명: KBbank 상품종류: 대출 상품이름: KB사립학교교직원우대대출 조항: 제 1조 조항이름: 목적 이 약정서는 신규로 1억원을 초과하여 신용대출을 받거나, 추가로 신용대출을 받아 신용대출 잔액주)(금융기관 합계)이 1억원을 초과하는 차주에 대해 대출거래를 하 기 위한 약정입니다. 주) 한도대출의 경우에는 실제로 사용한 금액이 아니라 금융기관과 약정 당시 설정한 한도금액을 대출 총액으로 간주"
